epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,100.403,0.99515,1.46804,1.36705,0.90041,0.40953,0.81147,0.53537,1.85616,1.62061,1.50336,2.75718e-05,2.75718e-05,2.75718e-05
38,103.378,0.66894,0.79845,1.07088,0.90041,0.40953,0.81147,0.53537,1.85616,1.62061,1.50336,2.79018e-05,2.79018e-05,2.79018e-05
39,106.087,0.63052,1.18321,1.07751,0.8966,0.40975,0.81197,0.50252,1.86139,1.67342,1.50685,2.82082e-05,2.82082e-05,2.82082e-05
40,108.816,0.96453,0.96133,1.25588,0.8966,0.40975,0.81197,0.50252,1.86139,1.67342,1.50685,2.84911e-05,2.84911e-05,2.84911e-05
41,111.464,0.67619,0.85047,1.03353,0.89392,0.41017,0.72991,0.42821,1.86476,1.70922,1.51616,2.87504e-05,2.87504e-05,2.87504e-05
42,114.088,0.94289,1.71808,1.35868,0.89392,0.41017,0.72991,0.42821,1.86476,1.70922,1.51616,2.89861e-05,2.89861e-05,2.89861e-05
43,116.91,0.9423,1.42395,1.28702,0.89103,0.41049,0.65157,0.3988,1.85714,1.74564,1.52635,2.91983e-05,2.91983e-05,2.91983e-05
44,119.591,1.15898,1.187,1.49621,0.89103,0.41049,0.65157,0.3988,1.85714,1.74564,1.52635,2.93869e-05,2.93869e-05,2.93869e-05
45,122.985,0.70195,1.06192,1.09007,0.88818,0.41124,0.63284,0.40481,1.86848,1.75187,1.5339,2.9552e-05,2.9552e-05,2.9552e-05
46,125.623,0.83025,1.12077,1.31517,0.88818,0.41124,0.63284,0.40481,1.86848,1.75187,1.5339,2.96935e-05,2.96935e-05,2.96935e-05
47,128.712,0.87362,1.96838,1.29819,0.8853,0.41292,0.7233,0.46487,1.87027,1.75418,1.53854,2.98114e-05,2.98114e-05,2.98114e-05
48,131.701,0.91984,1.68246,1.29599,0.8853,0.41292,0.7233,0.46487,1.87027,1.75418,1.53854,2.99058e-05,2.99058e-05,2.99058e-05
49,134.684,0.76289,1.00884,1.30026,0.88258,0.41513,0.69593,0.43778,1.86579,1.75409,1.54221,2.99766e-05,2.99766e-05,2.99766e-05
50,137.333,0.8846,1.00418,1.3145,0.88258,0.41513,0.69593,0.43778,1.86579,1.75409,1.54221,3.00238e-05,3.00238e-05,3.00238e-05
51,140.183,0.90544,1.00109,1.20604,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00475e-05,3.00475e-05,3.00475e-05
52,142.964,1.09096,1.03676,1.43918,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00476e-05,3.00476e-05,3.00476e-05
53,145.652,0.60453,0.81863,1.17067,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00242e-05,3.00242e-05,3.00242e-05
54,148.391,0.84071,0.99737,1.29094,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.99772e-05,2.99772e-05,2.99772e-05
55,150.789,0.73264,1.03938,1.07861,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.99066e-05,2.99066e-05,2.99066e-05
56,153.1,1.18184,2.09967,1.68583,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.98125e-05,2.98125e-05,2.98125e-05
57,155.687,1.05424,1.90486,1.39678,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.96948e-05,2.96948e-05,2.96948e-05
58,158.276,1.09087,1.80679,1.46962,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.95535e-05,2.95535e-05,2.95535e-05
59,161.506,0.9578,0.96408,1.31472,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.93887e-05,2.93887e-05,2.93887e-05
60,164.319,1.13948,1.1079,1.59614,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.92003e-05,2.92003e-05,2.92003e-05
61,167.037,0.75595,0.91015,1.15527,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.89884e-05,2.89884e-05,2.89884e-05
62,169.374,0.85504,1.16896,1.1681,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.87529e-05,2.87529e-05,2.87529e-05
63,172.066,0.81843,1.11687,1.23179,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.84938e-05,2.84938e-05,2.84938e-05
64,174.882,0.75645,0.76107,1.19626,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.82112e-05,2.82112e-05,2.82112e-05
65,177.553,0.77214,0.92688,1.32481,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.7905e-05,2.7905e-05,2.7905e-05
66,180.201,0.7508,1.2675,1.14969,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.75753e-05,2.75753e-05,2.75753e-05
67,182.778,0.83661,1.22154,1.19579,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.7222e-05,2.7222e-05,2.7222e-05
68,185.205,1.16819,2.13309,1.58751,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.68451e-05,2.68451e-05,2.68451e-05
69,187.969,0.72149,1.12328,1.19462,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.64447e-05,2.64447e-05,2.64447e-05
70,190.442,0.9807,0.93042,1.43805,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.60207e-05,2.60207e-05,2.60207e-05
71,193.003,1.01002,1.38226,1.36788,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.55731e-05,2.55731e-05,2.55731e-05
72,195.64,0.69188,0.73323,1.18337,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.5102e-05,2.5102e-05,2.5102e-05
73,198.877,0.75181,1.13022,1.11999,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.46073e-05,2.46073e-05,2.46073e-05
74,202.096,0.81027,0.82684,1.32182,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.40891e-05,2.40891e-05,2.40891e-05
75,204.95,0.78477,0.68578,1.19182,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.35472e-05,2.35472e-05,2.35472e-05
76,207.719,0.82145,1.01116,1.30358,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.29819e-05,2.29819e-05,2.29819e-05
77,210.382,0.74553,0.7614,1.17002,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.23929e-05,2.23929e-05,2.23929e-05
78,212.884,0.86554,1.30585,1.20252,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.17805e-05,2.17805e-05,2.17805e-05
79,215.329,0.68655,1.03608,1.17754,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.11444e-05,2.11444e-05,2.11444e-05
80,218.027,0.75273,1.0022,1.21522,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.04848e-05,2.04848e-05,2.04848e-05
81,220.75,0.53822,0.58643,1.01387,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.98016e-05,1.98016e-05,1.98016e-05
82,223.266,0.88056,0.80838,1.21124,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.90949e-05,1.90949e-05,1.90949e-05
83,225.765,0.79337,0.92048,1.19624,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.83646e-05,1.83646e-05,1.83646e-05
84,228.299,0.75711,0.81918,1.13635,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.76107e-05,1.76107e-05,1.76107e-05
85,231.224,0.69851,0.83101,1.19769,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.68333e-05,1.68333e-05,1.68333e-05
86,233.355,0.76036,1.17151,1.14274,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.60323e-05,1.60323e-05,1.60323e-05
87,235.694,0.76838,0.88627,1.09068,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.52077e-05,1.52077e-05,1.52077e-05
88,238.137,0.84112,1.15442,1.41261,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.43596e-05,1.43596e-05,1.43596e-05
89,240.274,1.11222,1.23798,1.52572,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.34879e-05,1.34879e-05,1.34879e-05
90,242.508,0.7348,0.85171,1.06738,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.25927e-05,1.25927e-05,1.25927e-05
91,244.858,0.55676,0.77823,1.00842,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.16739e-05,1.16739e-05,1.16739e-05
92,247.55,0.76868,0.86627,0.98578,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,1.07315e-05,1.07315e-05,1.07315e-05
93,250.015,0.62439,0.72464,1.0814,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,9.76562e-06,9.76562e-06,9.76562e-06
94,252.509,0.61284,0.73454,0.95429,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,8.77613e-06,8.77613e-06,8.77613e-06
95,254.987,0.47826,0.66286,0.97414,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,7.76308e-06,7.76308e-06,7.76308e-06
96,257.577,0.63004,0.78511,1.09764,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,6.72648e-06,6.72648e-06,6.72648e-06
97,259.959,0.74954,0.83052,1.0825,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,5.6663e-06,5.6663e-06,5.6663e-06
98,262.454,0.65882,0.73309,0.99985,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,4.58257e-06,4.58257e-06,4.58257e-06
99,264.911,0.60423,0.78665,1.00258,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,3.47528e-06,3.47528e-06,3.47528e-06
100,267.373,0.60161,0.71271,1.04177,0.96561,0.35198,0.7688,0.4066,1.87525,1.87566,1.54366,2.34442e-06,2.34442e-06,2.34442e-06
